date,month,time,carbon_monoxide,tin_oxide,hydrocarbons,benzene,titania,nitrous_oxide,tungsten_oxide,nitrous_dioxide,indium_oxide,temperature,relative_humidity,absolute_humidity
10/03/2004,10,18,2.6,1360,150,11.9,1046,166,1056,113,1268,13.6,48.9,0.7578
10/03/2004,10,19,2,1292,112,9.4,955,103,1174,92,972,13.3,47.7,0.7255
10/03/2004,10,20,2.2,1402,88,9.0,939,131,1140,114,1074,11.9,54.0,0.7502
10/03/2004,10,21,2.2,1376,80,9.2,948,172,1092,122,1203,11.0,60.0,0.7867
10/03/2004,10,22,1.6,1272,51,6.5,836,131,1205,116,1110,11.2,59.6,0.7888
10/03/2004,10,23,1.2,1197,38,4.7,750,89,1337,96,949,11.2,59.2,0.7848
11/03/2004,11,0,1.2,1185,31,3.6,690,62,1462,77,733,11.3,56.8,0.7603
11/03/2004,11,1,1,1136,31,3.3,672,62,1453,76,730,10.7,60.0,0.7702
11/03/2004,11,2,0.9,1094,24,2.3,609,45,1579,60,620,10.7,59.7,0.7648
11/03/2004,11,3,0.6,1010,19,1.7,561,-200,1705,-200,501,10.3,60.2,0.7517
11/03/2004,11,4,-200,1011,14,1.3,527,21,1818,34,445,10.1,60.5,0.7465
11/03/2004,11,5,0.7,1066,8,1.1,512,16,1918,28,422,11.0,56.2,0.7366
11/03/2004,11,6,0.7,1052,16,1.6,553,34,1738,48,472,10.5,58.1,0.7353
11/03/2004,11,7,1.1,1144,29,3.2,667,98,1490,82,730,10.2,59.6,0.7417
11/03/2004,11,8,2,1333,64,8.0,900,174,1136,112,1102,10.8,57.4,0.7408
11/03/2004,11,9,2.2,1351,87,9.5,960,129,1079,101,1028,10.5,60.6,0.7691
11/03/2004,11,10,1.7,1233,77,6.3,827,112,1218,98,860,10.8,58.4,0.7552
11/03/2004,11,11,1.5,1179,43,5.0,762,95,1328,92,671,10.5,57.9,0.7352
11/03/2004,11,12,1.6,1236,61,5.2,774,104,1301,95,664,9.5,66.8,0.7951
11/03/2004,11,13,1.9,1286,63,7.3,869,146,1162,112,799,8.3,76.4,0.8393
11/03/2004,11,14,2.9,1371,164,11.5,1034,207,983,128,1037,8.0,81.1,0.8736
11/03/2004,11,15,2.2,1310,79,8.8,933,184,1082,126,946,8.3,79.8,0.8778
11/03/2004,11,16,2.2,1292,95,8.3,912,193,1103,131,957,9.7,71.2,0.8569
11/03/2004,11,17,2.9,1383,150,11.2,1020,243,1008,135,1104,9.8,67.6,0.8185
11/03/2004,11,18,4.8,1581,307,20.8,1319,281,799,151,1409,10.3,64.2,0.8065
11/03/2004,11,19,6.9,1776,461,27.4,1488,383,702,172,1704,9.7,69.3,0.8319
11/03/2004,11,20,6.1,1640,401,24.0,1404,351,743,165,1654,9.6,67.8,0.8133
11/03/2004,11,21,3.9,1313,197,12.8,1076,240,957,136,1285,9.1,64.0,0.7419
11/03/2004,11,22,1.5,965,61,4.7,749,94,1325,85,821,8.2,63.4,0.6905
11/03/2004,11,23,1,913,26,2.6,629,47,1565,53,552,8.2,60.8,0.6657
12/03/2004,12,0,1.7,1080,55,5.9,805,122,1254,97,816,8.3,58.5,0.6438
12/03/2004,12,1,1.9,1044,53,6.4,829,133,1247,110,832,7.7,59.7,0.6308
12/03/2004,12,2,1.4,988,40,4.1,718,82,1396,91,692,7.1,61.8,0.6276
12/03/2004,12,3,0.8,889,21,1.9,574,-200,1680,-200,512,7.0,62.3,0.6261
12/03/2004,12,4,-200,831,10,1.1,506,21,1893,32,384,6.1,65.9,0.6248
12/03/2004,12,5,0.6,847,7,1.0,501,30,1895,44,394,6.3,65.0,0.6233
12/03/2004,12,6,0.8,927,17,1.8,571,56,1685,71,487,6.8,62.9,0.6234
12/03/2004,12,7,1.4,1091,33,4.4,730,109,1387,104,748,6.4,65.1,0.6316
12/03/2004,12,8,4.4,1587,202,17.9,1236,307,897,141,1400,7.3,63.1,0.6499
12/03/2004,12,9,-200,1545,-200,22.1,1353,-200,767,-200,1588,9.2,56.2,0.6561
12/03/2004,12,10,3.1,1350,208,14.0,1118,187,912,122,1237,13.2,41.7,0.6320
12/03/2004,12,11,2.7,1263,166,11.6,1037,216,969,143,1167,14.3,38.4,0.6243
12/03/2004,12,12,2.1,1206,114,10.2,986,143,1035,113,959,15.0,36.5,0.6195
12/03/2004,12,13,2.5,1252,140,11.0,1016,160,1008,116,983,16.1,34.5,0.6262
12/03/2004,12,14,2.7,1287,169,12.8,1078,163,949,123,1061,16.3,35.7,0.6560
12/03/2004,12,15,2.9,1353,185,14.2,1122,190,922,126,1139,15.8,37.0,0.6610
12/03/2004,12,16,2.8,1309,165,12.7,1073,178,954,120,1112,15.9,37.2,0.6657
12/03/2004,12,17,2.4,1274,133,11.7,1041,150,1006,119,994,16.9,34.3,0.6549
12/03/2004,12,18,3.9,1510,233,19.3,1277,206,812,149,1410,15.1,39.6,0.6766
12/03/2004,12,19,3.7,1525,242,18.2,1246,202,821,145,1448,14.4,43.4,0.7084
12/03/2004,12,20,6.6,1843,488,32.6,1610,340,624,170,1887,12.9,50.5,0.7478
12/03/2004,12,21,4.4,1598,333,20.1,1299,274,752,149,1627,12.1,53.3,0.7536
12/03/2004,12,22,3.5,1484,215,14.3,1127,253,839,139,1491,11.0,59.1,0.7740
12/03/2004,12,23,5.4,1677,367,21.8,1346,300,741,134,1657,9.7,64.6,0.7771
13/03/2004,,0,2.7,1280,122,9.6,964,193,963,113,1285,9.5,64.1,0.7597
13/03/2004,,1,1.9,1196,67,7.4,873,139,1071,97,1144,9.1,63.9,0.7423
13/03/2004,,2,1.6,1184,43,5.4,782,83,1176,82,1043,8.8,63.9,0.7256
13/03/2004,,3,1.7,1172,46,5.4,783,-200,1179,-200,996,7.8,67.5,0.7173
13/03/2004,,4,-200,1147,56,6.2,821,109,1132,83,992,7.0,71.1,0.7158
13/03/2004,,5,1,978,30,2.6,625,62,1420,65,819,8.3,63.6,0.6982
13/03/2004,,6,1.2,1100,27,2.9,646,53,1406,60,835,7.2,67.5,0.6887
13/03/2004,,7,1.5,1112,47,5.1,770,139,1228,77,940,6.3,71.9,0.6932
13/03/2004,,8,2.7,1336,132,11.8,1043,256,935,96,1192,6.5,71.6,0.6945
13/03/2004,,9,3.7,1408,239,15.1,1153,295,830,119,1411,9.6,59.7,0.7124
13/03/2004,,10,3.2,1447,160,12.9,1081,250,869,126,1465,12.4,51.2,0.7335
13/03/2004,,11,4.1,1542,283,16.1,1184,296,808,158,1583,15.6,42.2,0.7451
13/03/2004,,12,3.6,1451,210,14.0,1117,239,875,161,1387,18.4,33.8,0.7090
13/03/2004,,13,2.8,1328,154,12.3,1059,153,987,124,1101,19.4,31.3,0.6950
13/03/2004,,14,2,1207,112,8.6,924,118,1088,102,850,18.0,34.8,0.7127
13/03/2004,,15,2,1240,108,9.2,947,119,1049,116,947,18.4,33.6,0.7042
13/03/2004,,16,2.5,1306,111,10.2,987,138,1004,124,1078,17.6,35.1,0.7012
13/03/2004,,17,2.3,1326,97,10.6,1000,148,976,125,1084,16.7,37.8,0.7117
13/03/2004,,18,3.2,1473,191,15.5,1163,227,831,148,1395,16.1,41.0,0.7451
13/03/2004,,19,4.2,1609,258,19.6,1286,277,758,165,1612,15.8,42.4,0.7569
13/03/2004,,20,4.2,1611,284,19.2,1274,279,754,161,1697,15.7,44.1,0.7786
13/03/2004,,21,4.2,1621,269,18.3,1247,283,762,159,1886,15.3,46.8,0.8091
13/03/2004,,22,3.1,1444,180,13.1,1089,214,844,143,1624,14.6,48.6,0.8060
13/03/2004,,23,2.6,1418,116,10.9,1010,172,892,130,1536,14.7,49.3,0.8193
14/03/2004,,0,2.9,1534,93,11.0,1013,190,889,129,1535,13.9,53.6,0.8498
14/03/2004,,1,2.8,1484,131,11.9,1045,174,880,119,1530,14.6,51.5,0.8536
14/03/2004,,2,2.5,1367,92,8.6,925,128,953,104,1337,12.5,58.9,0.8537
14/03/2004,,3,2.4,1344,132,9.7,968,-200,921,-200,1278,11.6,63.4,0.8674
14/03/2004,,4,-200,1130,56,5.2,773,70,1130,82,1051,12.1,61.1,0.8603
14/03/2004,,5,1.2,1062,32,3.7,691,53,1272,70,929,11.5,63.1,0.8533
14/03/2004,,6,1,1076,29,2.5,618,44,1395,63,872,11.6,62.2,0.8473
14/03/2004,,7,0.9,1028,27,2.4,615,74,1384,67,853,10.4,67.6,0.8530
14/03/2004,,8,1.4,1155,36,4.2,722,101,1225,84,959,11.6,62.7,0.8530
